Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Hyundai,2014,Xcent S (O) 1.2,Xcent S (O) 1.2,Manual,"34,833 km",1st owner,Petrol,MH46-Z9310,"₹8,942/month",₹4.02 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Manual,"46,564 km",1st owner,Petrol,MH48-AK7889,"₹9,971/month",₹5.1 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2021,New Wagon-R LXI CNG (O) 1.0,New Wagon-R LXI CNG (O) 1.0,Manual,"36,188 km",1st owner,CNG,MH47-AY1975,"₹12,123/month",₹6.2 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2022,AURA SX PLUS 1.2 AMT,AURA SX PLUS 1.2 AMT,Automatic,"20,883 km",1st owner,Petrol,MH04-LB5922,"₹16,084/month",₹8.45 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2013,Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Manual,"75,349 km",2nd owner,CNG,MH46-X1584,"₹14,263/month",₹3.03 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Xcent S 1.2,Xcent S 1.2,Manual,"95,722 km",3rd owner,Petrol,MH43-AT9483,"₹6,940/month",₹3.55 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2019,VENUE SX PLUS 1.0 TURBO DCT,VENUE SX PLUS 1.0 TURBO DCT,Automatic,"53,229 km",1st owner,Petrol,MH04-KD7021,"₹16,426/month",₹8.63 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2013,Brio VX AT,Brio VX AT,Automatic,"56,041 km",2nd owner,Petrol,MH04-GE5772,"₹8,822/month",₹3.35 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2015,Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Automatic,"95,214 km",1st owner,Petrol,MH43-AT7159,"₹6,237/month",₹3.19 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2016,Vitara Brezza ZDI PLUS,Vitara Brezza ZDI PLUS,Manual,"74,960 km",3rd owner,Diesel,MH02-EK3168,"₹12,688/month",₹6.49 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2021,New Wagon-R LXI CNG (O) 1.0,New Wagon-R LXI CNG (O) 1.0,Manual,"13,106 km",1st owner,CNG,MH04-KR8256,"₹12,414/month",₹6.35 Lakh,On Zero down payment,"Mulund West, Mumbai"
