Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Mahindra,2019,Scorpio S5,Manual,58255,1st,Diesel,DL12-CQ9402,22221,1022000,0,GIP Mall,Delhi
Tata,2023,ALTROZ XZ PETROL,Manual,16595,1st,Petrol,DL12-CW6848,14452,739000,0,"Metro Walk, Rohini, New Delhi",Delhi
Renault,2019,TRIBER RXT,Manual,47711,1st,Petrol,HR12-AK4611,9286,475000,0,"Metro Walk, Rohini, New Delhi",Delhi
Toyota,2019,Innova Crysta 2.4 GX 8 STR,Manual,53809,2nd,Diesel,HR26-DW1719,27722,1275000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Hyundai,2022,NEW I20 ASTA (O) 1.2 MT,Manual,29783,1st,Petrol,DL9C-AZ7458,15437,811000,0,Chhatarpur,Delhi
Hyundai,2021,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Manual,22799,1st,Petrol,UP16-CV4689,11593,593000,0,KW Delhi 6,Delhi
Maruti,2021,S PRESSO VXI+,Manual,7319,1st,Petrol,DL9C-AW3370,8866,454000,0,Sector-18,Delhi
Toyota,2014,Corolla Altis G PETROL,Manual,78957,2nd,Petrol,UP78-DS0010,11723,527000,0,GIP Mall,Delhi
Tata,2021,PUNCH ACCOMPLISHED AMT,Automatic,13832,1st,Petrol,HR98-C8390,13255,678000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Honda,2019,Amaze 1.2L I-VTEC S,Manual,60688,1st,Petrol,DL4C-AY9640,10479,536000,0,KW Delhi 6,Delhi
Honda,2019,Civic 1.6L I-DTEC VX MT,Manual,50016,1st,Diesel,UP14-EF6007,28846,1327000,0,Sector-18,Delhi
Honda,2021,City 1.5L I-VTEC ZX,Manual,28283,1st,Petrol,HR36-AK8397,20405,1072000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Tata,2021,Tiago XT PETROL,Manual,7483,1st,Petrol,DL5C-S8414,10147,519000,0,Sector-18,Delhi
Hyundai,2021,VENUE S 1.2,Manual,42769,1st,Petrol,HR36-AJ4411,14506,742000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Ford,2019,Ecosport AMBIENTE 1.5L PETROL,Manual,34776,1st,Petrol,DL12-CR0466,12737,651000,0,Sector-18,Delhi
Maruti,2019,Baleno ALPHA PETROL 1.2,Manual,48887,1st,Petrol,DL5C-R0884,13060,668000,0,GIP Mall,Delhi
Toyota,2022,URBAN CRUISER PREMIUM GRADE AT,Automatic,32385,1st,Petrol,HR02-AX5989,18939,994999,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Maruti,2017,Baleno DELTA PETROL 1.2,Manual,31714,1st,Petrol,DL2C-AX5882,10264,525000,0,Chhatarpur,Delhi
Hyundai,2015,Elite i20 SPORTZ 1.2,Manual,76297,2nd,Petrol,DL7C-T6228,8094,413999,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Hyundai,2019,NEW SANTRO SPORTZ MT,Manual,24771,1st,Petrol,DL10-CM6894,9384,480000,0,GIP Mall,Delhi
Maruti,2019,Swift VXI,Manual,60993,1st,Petrol,HR14-Q7384,10186,521000,0,"Metro Walk, Rohini, New Delhi",Delhi
Renault,2021,Kwid RXL,Manual,51572,1st,Petrol,DL3C-CU5107,6800,348000,0,Sector-18,Delhi
Volkswagen,2019,Polo TRENDLINE 1.0L,Manual,69775,1st,Petrol,HR12-AJ1606,9540,488000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2015,Wagon R 1.0 LXI,Manual,79400,2nd,Petrol,DL3C-CJ1068,4614,236000,0,Chhatarpur,Delhi
Honda,2015,Amaze 1.2L I-VTEC S,Manual,49652,1st,Petrol,DL4C-AW5843,7370,377000,0,KW Delhi 6,Delhi
KIA,2019,SELTOS GTX 1.4 PETROL DUAL TONE,Manual,11700,2nd,Petrol,DL14-CE8420,22251,1169000,0,Sector-18,Delhi
Tata,2021,Tiago XZ PLUS PETROL,Manual,21869,1st,Petrol,UP72-BM0384,10557,540000,0,KW Delhi 6,Delhi
Hyundai,2017,Elite i20 SPORTZ 1.2,Manual,24686,1st,Petrol,UP14-DN0049,10831,554000,0,GIP Mall,Delhi
Hyundai,2016,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,40032,2nd,Petrol,DL8C-AN1472,7292,373000,0,KW Delhi 6,Delhi
Hyundai,2017,Elite i20 SPORTZ 1.2,Manual,34704,1st,Petrol,DL5C-P2677,10107,517000,0,Chhatarpur,Delhi
Hyundai,2015,Elite i20 SPORTZ 1.2 (O),Manual,50789,1st,Petrol,DL2C-AT6166,9247,473000,0,Sector-18,Delhi
Ford,2019,Ecosport TITANIUM 1.5L DIESEL,Manual,27603,3rd,Diesel,DL10-CN2358,15527,698000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2022,Ertiga ZXI+ AT SHVS,Automatic,21894,2nd,Petrol,HR29-AY4759,20823,1094000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Volkswagen,2018,Ameo TRENDLINE 1.0L,Manual,67051,1st,Petrol,HR26-DT6007,8543,437000,0,Parsvnath City Mall,Delhi
Toyota,2022,URBAN CRUISER MID GRADE AT,Automatic,6306,2nd,Petrol,UP16-DC5098,16826,884000,0,Sector-18,Delhi
Volkswagen,2011,Polo COMFORTLINE 1.2L PETROL,Manual,80811,1st,Petrol,HR06-Y5677,9085,193000,0,"Metro Walk, Rohini, New Delhi",Delhi
Honda,2022,Amaze 1.2L I-VTEC S,Manual,12644,1st,Petrol,HR51-CH1025,12819,656000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Tata,2022,Harrier XT 2.0L KRYOTEC,Manual,35606,1st,Diesel,DL7C-S8510,25875,1359000,0,"Metro Walk, Rohini, New Delhi",Delhi
Mahindra,2019,Scorpio S9,Manual,21437,1st,Diesel,HR26-DZ5354,27504,1265000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Maruti,2021,S PRESSO VXI+,Manual,12058,1st,Petrol,DL12-CT4526,9169,469000,0,Sector-18,Delhi
Hyundai,2019,NEW SANTRO ERA EXECUTIVE,Manual,69156,1st,Petrol,DL9C-AS5126,7761,397000,0,GIP Mall,Delhi
Maruti,2020,Baleno ZETA PETROL 1.2,Manual,21878,1st,Petrol,DL5C-R7585,13959,714000,0,GIP Mall,Delhi
Hyundai,2017,Elite i20 MAGNA EXECUTIVE 1.2,Manual,27659,3rd,Petrol,DL7C-Q1752,9971,509999,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2018,Elite i20 ASTA 1.2 DUAL TONE,Manual,32110,1st,Petrol,UP16-BY8770,13177,674000,0,KW Delhi 6,Delhi
Tata,2018,Tiago XZA PETROL,Automatic,112133,1st,Petrol,HR26-DN8928,8319,374000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2015,Alto K10 VXI AMT,Automatic,64562,3rd,Petrol,HR72-B4641,4868,249000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Datsun,2017,Go ANNIVERSARY EDITION,Manual,59262,2nd,Petrol,DL8C-AR3864,5357,274000,0,"Metro Walk, Rohini, New Delhi",Delhi
Honda,2015,City 1.5L I-VTEC SV,Manual,75339,2nd,Petrol,DL9C-U9926,9130,467000,0,KW Delhi 6,Delhi
Ford,2019,Ecosport TITANIUM + 1.5L PETROL AT,Automatic,28080,1st,Petrol,UP14-EC7079,16712,877999,0,GIP Mall,Delhi
Jeep,2019,Compass SPORT PLUS 2.0 DIESEL,Manual,45245,1st,Diesel,DL3C-CR0322,22438,1032000,0,KW Delhi 6,Delhi
Tata,2019,NEXON XM PETROL,Manual,18382,1st,Petrol,UP14-EH5004,13235,677000,0,Sector-18,Delhi
Nissan,2022,MAGNITE XE,Manual,12695,1st,Petrol,DL14-CG6027,11339,580000,0,"Metro Walk, Rohini, New Delhi",Delhi
Ford,2019,Ecosport TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROL,Manual,22956,2nd,CNG,DL12-CR2688,15347,785000,0,"Metro Walk, Rohini, New Delhi",Delhi
Mahindra,2022,Thar LX P 4WD AT CONVERTIBLE,Automatic,15519,2nd,Petrol,UP21-CQ0555,25487,1339000,0,Sector-18,Delhi
KIA,2022,SONET GTX PLUS 1.0 IMT,Manual,22717,1st,Petrol,UP32-MS4280,23241,1221000,0,KW Delhi 6,Delhi
Nissan,2021,MAGNITE XE,Manual,30455,1st,Petrol,DL8C-BC7865,10968,561000,0,"Metro Walk, Rohini, New Delhi",Delhi
Tata,2020,NEXON XM SUNROOF DIESEL,Manual,71108,1st,Diesel,DL7C-R8963,13998,716000,0,"Metro Walk, Rohini, New Delhi",Delhi
Volkswagen,2022,TAIGUN TOPLINE 1.0 TSI MT,Manual,14449,1st,Petrol,HR29-BA9344,25144,1321000,0,Parsvnath City Mall,Delhi
KIA,2022,SONET HTX 1.0 IMT,Manual,20224,2nd,Petrol,DL14-CG4453,19053,1001000,0,"Metro Walk, Rohini, New Delhi",Delhi
Renault,2021,Kwid RXL,Manual,24475,2nd,Petrol,HR20-AU4987,6999,358000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Hyundai,2022,VENUE SX 1.5 CRDI,Manual,34255,2nd,Diesel,UP14-EZ4887,18501,972000,0,Sector-18,Delhi
Hyundai,2018,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,32410,1st,Petrol,UP14-DN4496,8778,449000,0,KW Delhi 6,Delhi
Maruti,2019,Swift VXI,Manual,19744,1st,Petrol,UP14-EE2729,11007,563000,0,GIP Mall,Delhi
Honda,2022,Amaze 1.2L I-VTEC S CVT,Automatic,17110,1st,Petrol,UP16-DK4136,14741,754000,0,Sector-18,Delhi
Honda,2013,City 1.5L I-VTEC S MT,Manual,96188,1st,Petrol,UP16-AP1163,8611,327000,0,GIP Mall,Delhi
Maruti,2015,Wagon R 1.0 VXI,Manual,38479,1st,Petrol,DL8C-AJ3466,5885,301000,0,Chhatarpur,Delhi
Honda,2020,City 1.5L I-VTE V CVT,Manual,55879,1st,Petrol,DL14-CE8647,16769,881000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2016,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Manual,70727,3rd,CNG,DL12-CK2099,8698,391000,0,KW Delhi 6,Delhi
Honda,2018,WR-V 1.2L I-VTEC VX MT,Manual,9363,1st,Petrol,DL2C-AZ0232,13353,683000,0,"Metro Walk, Rohini, New Delhi",Delhi
Honda,2019,Amaze 1.2L I-VTEC S,Manual,47429,1st,Petrol,DL10-CN1355,10968,561000,0,Chhatarpur,Delhi
Maruti,2022,Eeco 5 STR AC CNG,Manual,10783,1st,CNG,DL8C-BD4954,12238,626000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2018,Celerio VXI,Manual,11942,1st,Petrol,DL12-CN1604,7918,405000,0,GIP Mall,Delhi
Volkswagen,2019,Ameo TRENDLINE 1.5L,Manual,54341,1st,Diesel,UP14-EF1831,11211,504000,0,Sector-18,Delhi
Hyundai,2013,i10 ERA 1.1,Manual,58454,1st,Petrol,DL2C-AR3327,5825,221000,0,KW Delhi 6,Delhi
Honda,2019,Amaze 1.2L I-VTEC S,Manual,39901,2nd,Petrol,HR87-D1266,10283,526000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Maruti,2018,Alto 800 LXI,Manual,39074,1st,Petrol,DL8C-AT7886,5455,279000,0,"Metro Walk, Rohini, New Delhi",Delhi
