Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Renault,2016,Kwid RXT 1.0,Manual,26728,1st,Petrol,MH03-CB8212,5513,282000,0,Mulund West,Mumbai
Hyundai,2017,Verna 1.6 VTVT S AT,Automatic,57376,1st,Petrol,MH43-BK0324,10518,538000,0,Mulund West,Mumbai
Honda,2022,Jazz 1.2L I-VTEC VX CVT,Automatic,4980,1st,Petrol,MH03-DX3461,17797,935000,0,Seawood,Mumbai
Hyundai,2017,Creta E PLUS 1.6 PETROL,Manual,23252,2nd,Petrol,MH46-BA4361,14897,762000,0,Mulund West,Mumbai
Tata,2020,ALTROZ XZ PETROL,Manual,11670,1st,Petrol,MH02-FJ8657,14741,754000,0,Goregaon,Mumbai
Hyundai,2017,Creta E PLUS 1.6 PETROL,Manual,77926,1st,Petrol,MH02-EP8050,15132,774000,0,Goregaon,Mumbai
Maruti,2021,S PRESSO VXI PLUS AMT,Automatic,26592,1st,Petrol,MH05-EQ6607,8837,451999,0,Mulund West,Mumbai
Honda,2015,City 1.5L I-DTEC SV,Manual,91712,2nd,Diesel,MH01-BY2513,10855,488000,0,Goregaon,Mumbai
Maruti,2016,Alto K10 VXI,Manual,58850,1st,Petrol,MH05-CV1344,5376,275000,0,Goregaon,Mumbai
Hyundai,2018,NEW SANTRO SPORTZ AMT,Automatic,52080,1st,Petrol,MH15-GR5322,9834,503000,0,Goregaon,Mumbai
Maruti,2011,Ritz VXI,Manual,96515,1st,Petrol,MH05-AX2513,8567,182000,0,Goregaon,Mumbai
Honda,2021,Amaze 1.2L I-VTEC S,Manual,15721,1st,Petrol,MH05-EQ6325,11887,608000,0,Mulund West,Mumbai
Hyundai,2021,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Automatic,11769,1st,Petrol,MH43-BU8305,14702,752000,0,Mulund West,Mumbai
Volkswagen,2013,Vento COMFORTLINE DIESEL 1.6,Manual,89759,1st,Diesel,MH03-BH7022,10529,317000,0,Mulund West,Mumbai
Renault,2019,Kwid RXT 1.0 AMT (O),Automatic,33843,2nd,Petrol,MH04-KD3918,6647,340000,0,Seawood,Mumbai
Maruti,2015,Swift Dzire VXI,Manual,84357,1st,Petrol,MH43-AT0194,7253,371000,0,Mulund West,Mumbai
Honda,2012,City 1.5L I-VTEC CORPORATE MT,Manual,62671,1st,Petrol,MH03-BE6570,10064,303000,0,Seawood,Mumbai
Tata,2020,NEXON XM SUNROOF PETROL,Manual,3646,1st,Petrol,MH02-FN0427,15303,803999,0,Goregaon,Mumbai
Maruti,2021,New Wagon-R VXI 1.2,Manual,18693,1st,Petrol,MH03-DU5217,11163,571000,0,Mulund West,Mumbai
Nissan,2022,MAGNITE XV MT,Manual,32892,1st,Petrol,MH47-BF3365,13001,665000,0,Goregaon,Mumbai
Maruti,2017,IGNIS ZETA 1.2 AMT DUAL TONE,Automatic,38048,2nd,Petrol,MH19-CU1246,9775,500000,0,Goregaon,Mumbai
Hyundai,2016,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,33204,2nd,Petrol,MH04-HM1928,7840,401000,0,Goregaon,Mumbai
Ford,2018,FREESTYLE TREND 1.2 PETROL,Manual,33314,1st,Petrol,MH46-BE9415,9384,480000,0,Goregaon,Mumbai
Maruti,2012,Alto 800 LXI,Manual,27138,2nd,Petrol,MH02-CV1709,6444,194000,0,Seawood,Mumbai
Honda,2018,Jazz 1.2L I-VTEC VX AT,Manual,24232,1st,Petrol,MH03-DA0841,13138,672000,0,Mulund West,Mumbai
Maruti,2021,New Wagon-R LXI CNG 1.0,Manual,26725,1st,CNG,MH46-BV5706,11897,609000,0,Seawood,Mumbai
Tata,2023,TIGOR XMA PETROL,Automatic,6789,1st,Petrol,MH47-BK4114,13998,716000,0,Goregaon,Mumbai
Honda,2017,City 1.5L I-VTEC V MT,Manual,22437,2nd,Petrol,MH03-CM3502,13842,708000,0,Goregaon,Mumbai
Hyundai,2015,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,33236,1st,Petrol,MH47-A0452,6940,355000,0,Mulund West,Mumbai
Maruti,2019,Baleno DELTA CVT PETROL 1.2,Automatic,16547,2nd,Petrol,MH04-KD1089,11730,600000,0,Mulund West,Mumbai
Maruti,2016,Celerio VXI CNG,Manual,90219,2nd,CNG,MH02-EE7634,8987,404000,0,Seawood,Mumbai
Honda,2018,Jazz 1.2L I-VTEC VX,Manual,26130,2nd,Petrol,MH01-DB3180,9423,482000,0,Mulund West,Mumbai
Maruti,2016,Baleno DELTA CVT PETROL 1.2,Automatic,58631,2nd,Petrol,MH01-CD6011,10088,516000,0,Goregaon,Mumbai
Maruti,2017,Vitara Brezza VDI,Manual,53140,1st,Diesel,MH02-EK7795,13216,676000,0,Seawood,Mumbai
